CoG,351
SoG,1.8
Latitude,43.9435046
Longitude,15.4286943
Heading,338
Windspeed,8.3
WindAngle,334
Heading,338
Windspeed,8.3
WindAngle,334
CoG,351
SoG,1.8
Latitude,43.9435063
Longitude,15.4286939
Heading,338
Windspeed,8.3
WindAngle,334
Latitude,43.9435063
Longitude,15.4286939
Heading,338
Depth,11.4
DepthOffset,-0.001
Windspeed,8.3
WindAngle,334
CoG,351
SoG,1.8
Latitude,43.9435083
Longitude,15.4286937
Heading,338
Windspeed,8.3
WindAngle,334
Latitude,43.9435083
Longitude,15.4286937
Heading,338
Windspeed,8.3
WindAngle,334
CoG,351
SoG,1.8
Latitude,43.9435102
Longitude,15.4286933
Heading,338
Windspeed,8.3
WindAngle,334
Latitude,43.9435102
Longitude,15.4286933
Heading,338
Windspeed,8.3
WindAngle,333
CoG,351
SoG,1.8
Latitude,43.9435120
Longitude,15.4286931
Heading,337
Windspeed,8.3
WindAngle,333
Heading,337
Windspeed,8.3
WindAngle,333
CoG,351
SoG,1.8
Heading,337
Windspeed,8.3
WindAngle,333
Heading,337
Windspeed,8.3
WindAngle,333
CoG,351
SoG,1.8
Heading,337
Windspeed,8.3
WindAngle,333
Latitude,43.9435160
Longitude,15.4286914
Heading,337
Depth,11.5
DepthOffset,-0.001
Windspeed,8.3
WindAngle,333
SpeedThroughWater,1.8
SoG,1273.9
Log,3971.30
CoG,351
SoG,1.8
Latitude,43.9435183
Longitude,15.4286908
Heading,337
Windspeed,8.3
WindAngle,333
Heading,337
Windspeed,8.3
WindAngle,333
CoG,350
SoG,1.8
Latitude,43.9435203
Longitude,15.4286898
Heading,337
Windspeed,8.3
WindAngle,333
Latitude,43.9435203
Longitude,15.4286898
Heading,337
Windspeed,8.3
WindAngle,333
CoG,350
SoG,1.8
Heading,337
Windspeed,8.3
WindAngle,333
Heading,336
Windspeed,8.3
WindAngle,333
CoG,350
SoG,1.9
Latitude,43.9435245
Longitude,15.4286883
Heading,336
Windspeed,8.3
WindAngle,333
Latitude,43.9435245
Longitude,15.4286883
Heading,336
Windspeed,8.3
WindAngle,333
CoG,350
SoG,1.9
Heading,336
Windspeed,8.3
WindAngle,333
Heading,336
Depth,11.5
DepthOffset,-0.001
Windspeed,8.3
WindAngle,333
SpeedThroughWater,1.8
SoG,1273.9
Log,3971.30
CoG,350
SoG,1.9
Latitude,43.9435280
Longitude,15.4286876
Heading,336
Windspeed,8.3
WindAngle,333
Heading,336
Windspeed,8.3
WindAngle,333
CoG,350
SoG,1.9
Heading,336
Windspeed,8.3
WindAngle,333
Heading,336
Windspeed,8.2
WindAngle,333
CoG,350
SoG,1.9
Heading,336
Windspeed,8.2
WindAngle,333
Heading,336
Windspeed,8.2
WindAngle,333
CoG,349
SoG,1.9
Heading,335
Windspeed,8.2
WindAngle,333
Latitude,43.9435331
Longitude,15.4286857
Heading,335
Windspeed,8.2
WindAngle,333
CoG,349
SoG,1.9
Heading,335
Windspeed,8.2
WindAngle,333
Heading,335
Depth,11.8
DepthOffset,-0.001
Windspeed,8.2
WindAngle,333
SpeedThroughWater,1.8
SoG,1273.9
CoG,348
SoG,1.9
Heading,335
Windspeed,8.2
WindAngle,333
Heading,335
Windspeed,8.2
WindAngle,333
CoG,348
SoG,1.9
Heading,335
Windspeed,8.2
WindAngle,333
Heading,335
Windspeed,8.5
WindAngle,335
CoG,347
SoG,1.9
Heading,335
Windspeed,8.5
WindAngle,335
Heading,335
Windspeed,8.5
WindAngle,335
CoG,347
SoG,1.9
Heading,334
Windspeed,8.5
WindAngle,335
Latitude,43.9435418
Longitude,15.4286817
Heading,334
Windspeed,8.5
WindAngle,335
CoG,346
SoG,1.9
Latitude,43.9435434
Longitude,15.4286812
Heading,334
Windspeed,8.5
WindAngle,335
Heading,334
Depth,12.0
DepthOffset,-0.001
Windspeed,8.5
WindAngle,335
SpeedThroughWater,1.8
SoG,1273.9
Log,3971.30
